location,scenario,year,cum_med,cum_lb,cum_ub
bangladesh,Single dose actual,2039,127.7812,0.0000,577.5710
bangladesh,Single dose actual,2040,230.0061,51.1125,792.2434
bangladesh,Single dose actual,2041,332.2311,51.1125,1001.8045
bangladesh,Single dose actual,2042,485.5685,102.2250,1262.4782
bangladesh,Single dose actual,2043,638.9060,199.3387,1620.2655
bangladesh,Single dose actual,2044,843.3559,296.4524,1983.1641
bangladesh,Single dose actual,2045,1150.0307,444.6785,2458.5101
bangladesh,Single dose actual,2046,1558.9305,598.0160,3025.8586
bangladesh,Single dose actual,2047,2095.6115,904.6908,3741.4333
bangladesh,Single dose actual,2048,2657.8488,1262.4782,4411.0067
bangladesh,Single dose actual,2049,3271.1985,1671.3780,5233.9176
bangladesh,Single dose actual,2050,3986.7732,2126.2790,6261.2784
bangladesh,Single dose actual,2051,4957.9103,2836.7424,7498.2004
bangladesh,Single dose actual,2052,5852.3786,3501.2046,8781.1236
bangladesh,Single dose actual,2053,7130.1906,4457.0079,10263.3856
bangladesh,Single dose actual,2054,8408.0025,5428.1450,11858.0949
bangladesh,Single dose actual,2055,9966.9332,6598.6208,14117.2666
bangladesh,Single dose actual,2056,11832.5388,7876.4328,16417.3284
bangladesh,Single dose actual,2057,13723.7006,9200.2460,19075.1775
bangladesh,Single dose actual,2058,15998.2060,10866.5129,21743.2491
bangladesh,Single dose actual,2059,18068.2615,12399.8873,24063.7558
bangladesh,Single dose actual,2060,20598.3295,14219.4916,26987.3899
bangladesh,Single dose actual,2061,23153.9536,16100.4309,29865.0227
bangladesh,Single dose actual,2062,25735.1340,18242.0439,33039.1079
bangladesh,Single dose actual,2063,28571.8768,20567.6619,36366.5306
bangladesh,Single dose actual,2064,31408.6196,22867.7236,39520.1709
bangladesh,Single dose actual,2065,34322.0312,25218.8978,42857.8160
bangladesh,Single dose actual,2066,37593.2301,27503.6257,46609.4721
bangladesh,Single dose actual,2067,40532.1979,30003.0261,50550.2445
bangladesh,Single dose actual,2068,43598.9469,32400.2016,54240.5659
bangladesh,Single dose actual,2069,46665.6960,35104.0519,57981.9994
bangladesh,Single dose actual,2070,50141.3447,37603.4523,61820.5469
bangladesh,Single dose actual,2071,53284.7625,39883.0690,65715.3181
bangladesh,Single dose actual,2072,56351.5115,42658.4769,69231.8569
bangladesh,Single dose actual,2073,59622.7105,44902.3148,73044.8482
bangladesh,Single dose actual,2074,62689.4594,47406.8265,76571.6095
bangladesh,Single dose actual,2075,65372.8647,49533.1058,79812.1410
bangladesh,Single dose actual,2076,68337.3888,52088.7299,83706.9122
bangladesh,Single dose actual,2077,71148.5754,54117.8954,86737.8825
bangladesh,Single dose actual,2078,73780.8682,56198.1734,89809.7428
