scenario,year,cum_med,cum_lb,cum_ub
Single dose actual,2074.0000,0.0000,0.0000,0.0000
Single dose actual,2075.0000,0.0000,0.0000,0.0000
Single dose actual,2076.0000,0.0000,0.0000,0.0000
Single dose actual,2077.0000,0.0000,0.0000,0.0000
Single dose actual,2078.0000,0.0000,0.0000,0.0000
Single dose actual,2079.0000,0.0000,0.0000,0.0000
Single dose actual,2080.0000,0.0000,0.0000,0.0000
Single dose actual,2081.0000,0.0000,0.0000,0.0000
Single dose actual,2082.0000,0.0000,0.0000,0.0000
Single dose actual,2083.0000,0.0000,0.0000,0.0000
Single dose actual,2084.0000,0.0000,0.0000,0.0000
Single dose actual,2085.0000,0.0000,0.0000,0.0000
Single dose actual,2086.0000,0.0000,0.0000,0.0000
Single dose actual,2087.0000,0.0000,0.0000,0.0000
Single dose actual,2088.0000,0.0000,0.0000,0.0000
Single dose actual,2089.0000,0.0000,0.0000,0.0000
Single dose actual,2090.0000,0.0000,0.0000,0.0000
Single dose actual,2091.0000,0.0000,0.0000,0.0000
Single dose actual,2092.0000,0.0000,0.0000,0.0000
Single dose actual,2093.0000,0.0000,0.0000,0.0000
Single dose actual,2094.0000,0.0000,0.0000,0.0000
Single dose actual,2095.0000,0.0000,0.0000,0.0000
Single dose actual,2096.0000,0.0000,0.0000,0.0000
Single dose actual,2097.0000,0.0000,0.0000,0.0000
Single dose actual,2098.0000,0.0000,0.0000,0.0000
Single dose actual,2099.0000,0.0000,0.0000,0.0000
Single dose actual,2100.0000,0.0000,0.0000,0.0000
Single dose actual,2101.0000,0.0000,0.0000,0.0000
Single dose actual,2102.0000,0.0000,0.0000,0.0000
Single dose actual,2103.0000,0.0000,0.0000,0.0000
Single dose actual,2104.0000,0.0000,0.0000,0.0000
Single dose actual,2105.0000,0.0000,0.0000,0.0000
Single dose actual,2106.0000,0.0000,0.0000,0.0000
Single dose actual,2107.0000,0.0000,0.0000,0.0000
Single dose actual,2108.0000,0.0000,0.0000,0.0000
Single dose actual,2109.0000,0.0000,0.0000,0.0000
Single dose actual,2110.0000,0.0000,0.0000,0.0000
Single dose actual,2111.0000,0.0000,0.0000,0.0000
Single dose actual,2112.0000,0.0000,0.0000,0.0000
Single dose actual,2113.0000,0.0000,0.0000,0.0000
Single dose actual,2114.0000,0.0000,0.0000,0.0000
Single dose actual,2115.0000,0.0000,0.0000,0.0000
Single dose actual,2116.0000,0.0000,0.0000,0.0000
Single dose actual,2117.0000,0.0000,0.0000,0.0000
Single dose actual,2118.0000,0.0000,0.0000,0.0000
Single dose actual,2119.0000,0.0000,0.0000,0.0000
Single dose actual,2120.0000,0.0000,0.0000,0.0000
Single dose actual,2121.0000,0.0000,0.0000,0.0000
Single dose actual,2122.0000,0.0000,0.0000,0.0000
Single dose actual,2123.0000,0.0000,0.0000,0.0000
Single dose actual,2124.0000,0.0000,0.0000,0.0000
Single dose actual,2125.0000,0.0000,0.0000,0.0000
